snapped_at,price,market_cap,total_volume
2013-07-15 00:00:00 UTC,2.165459962,42108676.915913716,0.0
2013-07-16 00:00:00 UTC,2.173107482,42325623.08260321,0.0
2013-07-17 00:00:00 UTC,2.189880584,42722170.35340152,0.0
2013-07-18 00:00:00 UTC,2.0580670409999997,40215461.637462236,0.0
2013-07-19 00:00:00 UTC,2.0783027607,40678628.127764426,0.0
2013-07-20 00:00:00 UTC,2.0924509129999995,41008279.60883494,0.0
2013-07-21 00:00:00 UTC,2.079447089,40729930.65986471,0.0
2013-07-22 00:00:00 UTC,2.096722221,41068296.84646956,0.0
2013-07-23 00:00:00 UTC,2.07466085448,40830371.00147085,0.0
2013-07-24 00:00:00 UTC,2.0616813279999997,40639870.62762044,0.0
2013-07-25 00:00:00 UTC,2.109929976,41653402.29927335,0.0
2013-07-26 00:00:00 UTC,2.057738212,40678870.99422633,0.0
2013-07-27 00:00:00 UTC,2.0565537,40716431.91568085,0.0
2013-07-28 00:00:00 UTC,2.0987372412,41606899.18992201,0.0
2013-07-29 00:00:00 UTC,2.09631382686,41618495.52852603,0.0
2013-07-30 00:00:00 UTC,2.11014831,41952554.985764705,0.0
2013-07-31 00:00:00 UTC,2.00184924,39856077.51857152,0.0
2013-08-01 00:00:00 UTC,2.00881508,40045989.750854254,0.0
2013-08-02 00:00:00 UTC,2.030892204,40541035.522816755,0.0
2013-08-03 00:00:00 UTC,2.030725254,40594461.92712962,0.0
2013-08-04 00:00:00 UTC,2.0730216,41497704.824457146,0.0
2013-08-05 00:00:00 UTC,2.000930628,40117118.20526755,0.0
2013-08-06 00:00:00 UTC,1.9823913513,39804594.78681603,0.0
2013-08-07 00:00:00 UTC,1.90304987099,38266488.95981637,0.0
2013-08-08 00:00:00 UTC,1.871923451,37700874.94527553,0.0
2013-08-09 00:00:00 UTC,1.82194182,36745888.24539246,0.0
2013-08-10 00:00:00 UTC,1.79598539,36273211.81260485,0.0
2013-08-11 00:00:00 UTC,1.77039197192,35802424.51189274,0.0
2013-08-12 00:00:00 UTC,1.8110152684,36679451.90533887,0.0
2013-08-13 00:00:00 UTC,1.842588456,37377975.703932196,0.0
2013-08-14 00:00:00 UTC,1.798491492,36537307.934937745,0.0
2013-08-15 00:00:00 UTC,1.820833504,36981091.81801677,0.0
2013-08-16 00:00:00 UTC,1.836387619,37417371.29858121,0.0
2013-08-17 00:00:00 UTC,1.849359064,37731048.962261185,0.0
2013-08-18 00:00:00 UTC,1.83112922892,37406546.222470306,0.0
2013-08-19 00:00:00 UTC,1.80535199523,36931147.09020208,0.0
2013-08-20 00:00:00 UTC,1.85362782924,37975885.02014797,0.0
2013-08-21 00:00:00 UTC,1.881583232,38609297.56573902,0.0
2013-08-22 00:00:00 UTC,1.766975517,36316965.61657985,0.0
2013-08-23 00:00:00 UTC,1.86792016,38449418.13854455,0.0
2013-08-24 00:00:00 UTC,1.8742944659999998,38637324.92150884,0.0
2013-08-25 00:00:00 UTC,1.845515677,38096851.215987645,0.0
2013-08-26 00:00:00 UTC,1.779574982,36781554.831857555,0.0
2013-08-27 00:00:00 UTC,1.78203232988,36881083.83830338,0.0
2013-08-28 00:00:00 UTC,1.8205158140000002,37725329.51955002,0.0
2013-08-29 00:00:00 UTC,1.8469436518800002,38325798.7623098,0.0
2013-08-30 00:00:00 UTC,1.93716605082,40259308.4866253,0.0
2013-08-31 00:00:00 UTC,1.9530392520000002,40655012.2247111,0.0
2013-09-01 00:00:00 UTC,1.85066924152,38591413.634284385,0.0
2013-09-02 00:00:00 UTC,1.80228037398,37629956.38329657,0.0
2013-09-03 00:00:00 UTC,1.819798347,38039663.6654913,0.0
2013-09-04 00:00:00 UTC,1.7834233982400003,37320149.89145009,0.0
2013-09-05 00:00:00 UTC,2.061935304,43200596.20222499,0.0
